Date,Inflation
2021-11-01,4.6
2021-12-01,4.8
2022-01-01,4.9
2022-02-01,5.5
2022-03-01,6.2
2022-04-01,7.8
2022-05-01,7.9
2022-06-01,8.2
2022-07-01,8.8
2022-08-01,8.6
2022-09-01,8.8
2022-10-01,9.6
2022-11-01,9.3
